进货渠道,编号,商品名称,标价,净含量,int整数,每元/克,能量/100克,单件能量,每元能量,备注,,,,,,,,
[1],1,奶香南瓜,4.50 ,60,,13.33 ,1293,775.80 ,172.40 ,,,,,,,,,
[1],1_1,[降]奶香南瓜,4.00 ,60,,15.00 ,1293,775.80 ,193.95 ,2022/6/13,,,,,,,,
[1],2,香葱墨西哥,3.50 ,75,,21.43 ,1393,1044.75 ,298.50 ,,,,,,,,,
[1],3,海苔肉松,3.50 ,60,,17.14 ,1293,775.80 ,221.66 ,,,,,,,,,
[1],4,肉松面块,5.50 ,80,2片,14.55 ,1293,1034.40 ,188.07 ,,,,,,,,,
[1],5,葡萄吐司,5.50 ,135,2片,24.55 ,1393,1880.55 ,341.92 ,,,,,,,,,
[1],5_1,[降价]葡萄吐司,5.00 ,135,,27.00 ,1393,1880.55 ,376.11 ,吐司类降价,,,,,,,,
[1],6,椰蓉餐包,2.50 ,45,,18.00 ,1193,536.85 ,214.74 ,,,,,,,,,
[1],6_1,[降价]椰蓉餐包,2.00 ,45,,22.50 ,1193,536.85 ,268.43 ,,,,,,,,,
[1],7,毛毛虫,3.50 ,70,,20.00 ,1293,905.10 ,258.60 ,,,,,,,,,
[1],8,甜芝士,3.50 ,75,,21.43 ,1293,969.75 ,277.07 ,,,,,,,,,
[1],9,杏仁条,6.00 ,49,8根,8.17 ,,,,已永久下架,,,,,,,,
[1],10,奶酥,3.50 ,65,,18.57 ,1293,840.45 ,240.13 ,,,,,,,,,
[1],11,黑胡椒培根,4.50 ,70,,15.56 ,1283,898.10 ,199.58 ,,,,,,,,,
[1],12,焗糖肠仔,6.00 ,90,,15.00 ,1293,1163.70 ,193.95 ,,,,,,,,,
[1],13,岩松面包,6.00 ,105,,17.50 ,1293,1357.65 ,226.28 ,,,,,,,,,
[1],14,威多士,5.00 ,90,,18.00 ,1292,1162.80 ,232.56 ,2022/4/23,,,,,,,,
[1],15,黑胡椒三明治,6.00 ,120,,20.00 ,1293,1551.60 ,258.60 ,,,,,,,,,
[1],16,豆沙面包,3.50 ,80,,22.86 ,1293,1034.40 ,295.54 ,,,,,,,,,
[1],16_1,[降]豆沙面包,3.00 ,60,,20.00 ,1293,775.80 ,258.60 ,2022/4/1,,,,,,,,
[1],17,抹茶吐司,5.50 ,80,,14.55 ,1293,1034.40 ,188.07 ,,,,,,,,,
[1],17_1,[降价]抹茶吐司,5.00 ,80,,16.00 ,1293,1034.40 ,206.88 ,吐司类降价,,,,,,,,
[1],18,椰蓉吐司,5.50 ,125,,22.73 ,1293,1616.25 ,293.86 ,,,,,,,,,
[1],18_1,[降价]椰蓉吐司,5.00 ,125,,25.00 ,1293,1616.25 ,323.25 ,吐司类降价,,,,,,,,
[1],19,芝士棒,4.50 ,70,,15.56 ,1293,905.10 ,201.13 ,,,,,,,,,
[1],19_1,[涨价]芝士棒,5.50 ,70,,12.73 ,1293,905.10 ,164.56 ,2022/4/21,,,,,,,,
[1],20,香酥肠仔,4.50 ,75,,16.67 ,1293,969.75 ,215.50 ,,,,,,,,,
[1],21,培根三明治,6.00 ,120,,20.00 ,1293,1551.60 ,258.60 ,,,,,,,,,
[1],22,肉沙面包,5.00 ,60,,12.00 ,1293,775.80 ,155.16 ,疑错误数据,,,,,,,,
[1],23,巧克力提子,3.50 ,80,,22.86 ,1293,1034.40 ,295.54 ,,,,,,,,,
[1],24,椰汁红豆,4.50 ,80,,17.78 ,1293,1034.40 ,229.87 ,,,,,,,,,
[1],25,椰蓉甜心,3.50 ,65,,18.57 ,1293,840.45 ,240.13 ,,,,,,,,,
[1],26,菠萝面包,3.50 ,60,,17.14 ,1283,769.80 ,219.94 ,,,,,,,,,
[1],27,抹茶吐司,6.00 ,165,,27.50 ,1140,1881.00 ,313.50 ,,,,,,,,,
[1],28,迷你提子方包,5.50 ,165,,30.00 ,1155,1905.75 ,346.50 ,,,,,,,,,
[1],29,奶酪红豆,5.50 ,115,,20.91 ,1169,1344.35 ,244.43 ,,,,,,,,,
[1],29_1,奶酪红豆,5.00 ,115,,23.00 ,1169,1344.35 ,268.87 ,,,,,,,,,
[1],30,全麦吐司,6.00 ,160,,26.67 ,1246,1993.60 ,332.27 ,与49号数据相近,,,,,,,,
[2],31,墨西哥,5.00 ,,,,,,,,,,,,,,,
[2],32,黄金肉松,5.00 ,,,,,,,,,,,,,,,
[2],33,芝士棒,5.00 ,,,,,,,,,,,,,,,
[2],34,麻薯,6.00 ,,2块,,,,,,,,,,,,,
[2],35,甜甜圈,6.00 ,,1块,,,,,,,,,,,,,
[2],36,黄金椰蓉,4.00 ,,,,,,,,,,,,,,,
[4],37,菠萝包,3.00 ,65,,21.67 ,1180,767.00 ,255.67 ,,,,,,,,,
[4],37_2,[降价]菠萝包,2.50 ,65,,26.00 ,1180,767.00 ,306.80 ,2022/3/4,,,,,,,,
[4],37_1,[促销]菠萝包,5.00 ,130,2件,26.00 ,1180,1534.00 ,306.80 ,已降价,,,,,,,,
[4],38,紫薯餐包,6.00 ,160,4块,26.67 ,1111,1777.60 ,296.27 ,,,,,,,,,
[4],39,熊掌面包,5.50 ,115,,20.91 ,1158,1331.70 ,242.13 ,,,,,,,,,
[4],40,Q弹麻薯,8.00 ,160,4块,20.00 ,1240,1984.00 ,248.00 ,,,,,,,,,
[4],41,椰汁餐包,6.00 ,140,,23.33 ,1200,1680.00 ,280.00 ,,,,,,,,,
[4],42,芝士火腿,5.50 ,95,,17.27 ,1132,1075.40 ,195.53 ,,,,,,,,,
[4],42_1,[降价]芝士火腿,5.00 ,95,,19.00 ,1132,1075.40 ,215.08 ,2022/1/12,,,,,,,,
[4],43,奥尔良肠仔包,5.00 ,90,,18.00 ,1230,1107.00 ,221.40 ,,,,,,,,,
[4],44,三文治,6.50 ,100,,15.38 ,1156,1156.00 ,177.85 ,,,,,,,,,
[4],45,香松披萨,6.00 ,100,,16.67 ,1300,1300.00 ,216.67 ,,,,,,,,,
[1],46,杏仁瓦片,20.00 ,110,,5.50 ,1293,1422.30 ,71.12 ,,,,,,,,,
[1],47,椰子球曲奇,18.00 ,170,,9.44 ,1193,2028.10 ,112.67 ,,,,,,,,,
[1],48,瓜仁瓦片,20.00 ,90,,4.50 ,1293,1163.70 ,58.19 ,,,,,,,,,
[4],49,全麦面片,6.00 ,160,,26.67 ,1246,1993.60 ,332.27 ,与30号数据相近,,,,,,,,
[4],50,寿司卷,6.00 ,120,,20.00 ,1230,1476.00 ,246.00 ,,,,,,,,,
[4],51,芝士鸡扒汉堡,6.50 ,100,,15.38 ,1462,1462.00 ,224.92 ,,,,,,,,,
[4],52,迷你泡芙,6.50 ,105,,16.15 ,1544,1621.20 ,249.42 ,,,,,,,,,
[4],53,低脂全麦面包,12.00 ,300,,25.00 ,1277,3831.00 ,319.25 ,,,,,,,,,
[4],54,提子方包,12.00 ,300,,25.00 ,1177,3531.00 ,294.25 ,,,,,,,,,
[4],55,皇后吐司,12.00 ,290,,24.17 ,1668,4837.20 ,403.10 ,"实为原味吐司
但能量异常高",,,,,,,,
[2],56,手撕面包,12.00 ,,,,,,,2022/2/17,,,,,,,,
[2],57,红豆麻苔,7.00 ,,,,,,,2022/2/17,,,,,,,,
[4],58,蒙古包,5.00 ,100,,20.00 ,1190,1190.00 ,238.00 ,2022/2/17,,,,,,,,
[4],59,小玉枕蛋糕,8.00 ,200,,25.00 ,1240,2480.00 ,310.00 ,2022/2/17,,,,,,,,
[2],60,超软芝士,5.00 ,,,,,,,2022/2/18,,,,,,,,
[2],61,麻吉,6.00 ,,,,,,,2022/2/18,,,,,,,,
